Index,First Name,Last Name,Company,City,Country,Age,Annual_Income,Spending_Score,Years_as_Customer,Num_Purchases,Avg_Purchase_Value,Num_Complaints,Email_Opens_Rate,Website_Visits_Per_Month,Has_Mobile_App,Preferred_Channel,Region,CLV,Churn
1,Andrew,Goodman,Stewart-Flynn,Rowlandberg,Macao,56,22871.07,58,13,28,127.56,3,0.2826,11,1,Store,South,5220.82,0
2,Alvin,Lane,"Terry, Proctor and Lawrence",Bethside,Papua New Guinea,69,59069.27,4,3,20,22.14,1,0.2414,7,0,Online,North,2155.93,0
3,Jenna,Harding,Bailey Group,Moniquemouth,China,46,39872.99,4,11,22,416.28,1,0.2575,9,1,Online,South,4368.64,0
4,Fernando,Ford,Moss-Maxwell,Leeborough,Macao,32,26554.93,20,6,19,65.06,4,0.1504,6,0,Online,East,2828.83,1
5,Kara,Woods,Mccarthy-Kelley,Port Jacksonland,Nepal,60,42068.54,10,2,27,88.63,0,0.0266,6,1,Store,West,2162.48,0
6,Marissa,Gamble,Cherry and Sons,Webertown,Sudan,25,33369.04,24,8,21,167.06,2,0.2008,12,1,Store,South,3609.81,0
7,Julie,Cooley,"Yu, Norman and Sharp",West Sandra,Japan,38,88742.83,99,1,25,60.95,4,0.228,7,1,Store,East,3442.42,0
8,Lauren,Villa,"French, Travis and Hensley",New Yolanda,Fiji,56,72632.8,26,7,21,44.01,2,0.2309,7,1,Online,West,3105.39,0
9,Emily,Bryant,"Moon, Strickland and Combs",East Normanchester,Seychelles,36,54840.55,37,2,25,149.56,2,0.2997,10,0,Online,North,2579.14,0
10,Marie,Estrada,May Inc,Welchton,United Arab Emirates,40,84598.88,85,10,17,10.0,2,0.7693,6,1,Store,South,4567.44,0
11,Nichole,Cannon,Rios and Sons,West Devon,Burundi,28,56547.37,54,12,19,191.33,1,0.397,7,0,Phone,North,4370.8,0
12,Bernard,Ritter,Bradford and Sons,West Francisco,Palau,28,37774.32,21,6,28,108.24,1,0.2856,6,1,Online,North,3323.47,0
13,Darryl,Archer,Kerr-Cherry,Holtfurt,Uganda,41,85462.48,74,12,20,139.62,2,0.3791,4,1,Store,East,5255.84,0
14,Ryan,Li,"Hooper, Cross and Holt",Batesville,Liechtenstein,53,65778.2,38,2,23,149.9,1,0.1883,8,1,Online,East,3113.91,0
15,Vicki,Nunez,"Leonard, Galvan and Blackburn",Barbaraborough,Haiti,57,34255.08,46,2,21,112.31,2,0.5138,9,1,Store,West,2545.6,0
16,Sean,Townsend,Preston-Sosa,Velasquezberg,Iran,41,51193.23,4,10,20,131.03,0,0.34,7,1,Phone,North,3682.29,0
17,Sophia,Mathis,Richard-Velasquez,Toddhaven,Switzerland,20,37487.63,60,13,25,172.7,0,0.3575,7,1,Online,East,5659.14,0
18,Helen,Potts,"Rangel, Livingston and Patel",Douglasland,Seychelles,39,27344.01,57,8,17,209.83,2,0.5398,5,0,Online,East,3759.39,0
